poblacion,ancho,largo,m2_predio,locales,niveles
203342,28,19,543,12,2
203342,98,102,9985,20,2
203342,137,50,6857,30,1
203342,138,108,14937,25,1
203342,73,140,10213,20,2
203342,200,126,25125,25,1
203342,37,18,650,8,3
203342,20,67,1359,9,2
203342,131,88,11607,18,3
575942,127,49,6282,22,2
575942,42,36,1511,27,2
575942,83,70,5857,13,1
575942,85,45,3805,26,2
408759,42,29,1227,19,3
408759,227,134,30323,7,1
408759,148,15,2268,3,1
408759,23,23,534,9,2
408759,16,22,339,10,3
408759,20,37,731,7,2
114200,56,55,3095,20,3
114200,49,58,2862,26,2
114200,69,34,2352,19,2
114200,53,32,1689,17,2
114200,125,36,4482,27,2
114200,80,84,6717,9,2
114200,43,43,1815,10,2
114200,47,32,1518,8,2
114200,76,70,5294,8,2
114200,25,13,327,8,2
114200,53,30,1604,12,2
114200,25,31,772,8,2
114200,45,72,3255,14,2
114200,51,29,1496,15,2
114200,36,77,2759,8,1
114200,22,19,433,9,2
114200,113,91,10270,7,2
114200,31,30,928,9,2
114200,30,39,1146,16,2
114200,31,25,788,7,4
114200,24,22,524,4,2
17291,139,34,4676,16,2
17291,26,79,2022,1,1
17291,129,55,7046,55,1
17291,110,38,4147,15,1
17291,27,15,423,7,2
17291,31,42,1302,30,2
141322,211,96,20304,20,1
141322,117,126,14765,25,2
489333,44,42,1846,18,2
489333,105,91,9616,14,2
489333,28,25,704,7,2
489333,55,35,1954,8,2
489333,69,42,2889,13,1
489333,60,16,961,7,2
489333,30,19,578,6,2
8855000,20,40,812,10,2
8855000,46,36,1642,11,2
489160,50,43,2129,8,2
489160,48,67,3223,11,2
489160,24,32,745,5,2
489160,26,27,702,20,4
489160,149,82,12270,30,3
30073,27,87,2359,16,2
30073,80,40,3194,14,2
30073,113,190,21512,27,2
30073,71,78,5504,4,2
30073,43,35,1496,10,2
227827,59,37,2169,14,3
227827,55,31,1718,9,2
227827,42,40,1684,8,1
227827,77,31,2398,13,1
227827,58,24,1408,14,1
227827,48,103,4902,13,2
227827,185,218,40358,11,2
