poblacion,ancho,largo,m2_predio,locales,niveles
1110890,20,20,400,6,3
1110890,67,30,2010,12,3
1110890,42,22,924,12,3
1110890,60,90,5400,26,2
1110890,40,46,1840,8,1
1110890,20,30,600,6,2
1110890,52,50,2600,16,1
1110890,90,23,2070,24,2
1110890,60,83,4980,16,2
1110890,44,32,1408,20,3
1110890,98,46,4508,8,1
1110890,40,20,800,7,2
1110890,66,20,1320,14,1
1110890,40,37,1480,4,1
1110890,30,17,510,5,1
1110890,46,104,4784,12,1
1110890,29,65,1885,17,2
1110890,136,168,22848,30,1
1110890,63,92,5796,17,2
1110890,37,82,3034,15,2
1110890,14,58,812,5,2
1110890,40,92,3680,10,2
1110890,45,72,3240,18,2
1110890,60,104,6240,10,2
1110890,22,45,990,5,1
1110890,90,216,19440,20,3
1110890,178,131,23318,25,1
1110890,57,95,5415,20,2
1110890,89,115,10235,30,2
1110890,54,96,5184,22,2
1110890,110,191,21010,7,1
1110890,122,391,47702,6,1
1110890,36,87,3132,8,2
1110890,31,108,3348,25,2
1110890,28,90,2520,9,1
1110890,114,182,20748,9,1
1110890,30,45,1350,8,1
1110890,24,41,984,8,2
1110890,107,73,7811,14,1
1110890,83,87,7256,12,2
1110890,75,83,6194,17,2
1110890,51,80,4080,10,2
1110890,51,100,5100,15,2
1110890,51,61,3111,16,2
1110890,24,46,1104,5,1
1110890,83,69,5727,17,1
1110890,66,76,5016,27,2
1110890,40,68,2720,8,1
1110890,59,50,2950,5,1
1110890,35,24,840,12,2
1110890,37,38,1406,4,1
1110890,86,78,6708,10,2
1110890,40,64,2560,5,1
1110890,44,22,968,5,1
1110890,52,75,3900,12,2
807537,63,114,7182,20,2
807537,50,90,4500,28,3
807537,53,80,4240,14,2
807537,94,134,12596,14,1
807537,50,86,4300,19,3
807537,73,40,2920,6,1
807537,73,82,5986,40,4
807537,150,74,11100,40,2
807537,20,37,740,5,1
807537,38,54,2052,9,2
807537,120,60,7200,20,2
163595,57,49,2793,7,2
163595,285,136,38760,50,2
163595,62,68,4216,10,2
163595,30,35,1050,10,1
163595,435,112,48720,4,1
163595,35,35,1225,12,1
48511,50,30,1500,16,2
48511,24,20,480,8,1
216099,110,75,8250,20,2
45423,77,86,6622,10,2
1110890,60,85,5100,6,1
1110890,26,28,728,5,1
1110890,210,163,34230,34,2
1110890,64,53,3392,12,1
1110890,41,48,1968,18,2
1110890,90,130,11700,26,2
1110890,84,70,5880,6,2
1110890,168,55,9240,22,3
1110890,43,132,5676,16,2
1110890,61,45,2745,9,1
1110890,76,48,3648,20,2
1110890,80,24,1920,16,1
1110890,88,80,7040,20,2
1110890,143,73,10439,18,1
1110890,60,50,3000,27,2
1110890,20,22,440,12,2
1110890,83,27,2241,26,2
1110890,72,34,2448,12,1
1110890,30,19,570,6,1
1110890,47,20,940,5,1
1110890,77,70,5390,8,1
1110890,133,26,3458,8,1
807537,124,40,4960,10,1
807537,42,24,1008,12,2
807537,100,25,2500,16,1
807537,104,44,4576,14,1
807537,50,35,1750,8,2
807537,20,52,1040,10,2
807537,60,38,2280,7,1
807537,80,60,4800,8,1
807537,27,47,1269,38,1
807537,120,45,5400,14,1
1442521,127,240,30480,30,1
1442521,95,145,13775,15,2
1442521,37,78,2886,15,1
1442521,75,100,7500,5,3
1442521,230,278,63940,30,1
1442521,180,350,63000,50,1
1442521,127,650,82550,60,2
1442521,65,100,6500,15,2
1442521,130,200,26000,10,1
318 321,60,300,18000,15,1
319 321,130,227,29510,20,2
320 321,70,240,16800,60,1
321 321,38,70,2660,8,2
322 321,83,115,9545,36,3
323 321,60,216,12960,15,1
324 321,42,110,4620,12,1
325 321,27,48,1296,6,2
326 321,21,44,924,4,1
328 321,336,542,182112,10,1
329 321,48,117,5616,10,2
330 321,182,440,80080,15,2
332 321,82,173,14186,10,1
333 321,20,56,1120,6,2
334 321,118,234,27612,25,2
335 321,28,173,4844,20,1
336 321,20,40,800,5,2
337 321,207,328,67896,20,1
339 321,45,38,1710,34,4
340 321,32,73,2336,30,2
343 321,24,17,408,8,3
345 321,88,32,2816,16,2
346 321,40,30,1200,10,2
347 321,15,25,375,8,3
348 321,55,66,3630,14,1
349 321,56,110,6160,24,2
350 321,52,55,2860,12,2
351 321,50,55,2750,4,1
352 321,121,53,6413,24,2
353 321,130,44,5720,18,2
354 321,100,65,6500,10,3
355 321,50,48,2400,14,2
356 321,38,50,1900,24,3
357 321,56,40,2240,14,2
358 321,84,38,3192,22,2
359 321,72,48,3456,4,1
360 321,150,24,3600,15,1
361 321,70,56,3920,9,1
362 321,158,47,7426,10,1
363 321,130,40,5200,26,2
364 321,33,94,3102,20,2
365 321,15,18,270,5,1
366 321,76,57,4332,28,1
370 321,75,48,3600,25,2
371 321,21,16,336,15,3
372 321,100,95,9500,55,2
374 321,88,40,3520,20,1
375 321,50,88,4400,55,2
376 321,42,105,4410,15,2
377 321,42,53,2226,25,2
378 321,39,170,6630,63,2
381 321,88,75,6600,15,1
383 321,60,56,3360,30,4
384 321,115,175,20125,32,1
385 321,27,30,810,25,2
386 321,30,45,1350,12,2
387 321,17,40,680,10,2
388 321,63,63,3969,20,1
390 321,20,19,380,4,2
391 321,25,22,550,12,3
392 321,45,32,1440,8,2
393 321,22,34,748,3,1
394 321,50,50,2500,5,3
396 321,16,6,96,4,2
397 321,30,38,1140,16,2
398 321,100,105,10500,25,2
399 321,83,56,4648,10,2
400 321,35,45,1575,15,2
401 321,134,44,5896,25,2
402 321,62,18,1116,6,1
403 321,44,85,3740,7,2
404 321,52,52,2704,6,2
405 321,33,32,1056,6,2
406 321,39,33,1287,18,3
214 137,49,110,5390,30,1
215 137,178,65,11570,19,2
216 137,36,84,3024,20,2
217 137,70,26,1820,5,2
116 143,25,20,500,15,2
22 079,97,78,7566,10,1
413 608,145,100,14500,10,1
413 608,50,60,3000,30,3
413 608,200,150,30000,80,1
413 608,30,66,1980,7,2
413 608,73,70,5110,30,2
413 608,25,33,825,10,1
413 608,50,120,6000,25,2
413 608,40,40,1600,12,2
413 608,90,38,3420,15,1
413 608,60,185,11100,3,1
413 608,50,60,3000,15,2
413 608,50,50,2500,15,2
413 608,54,261,14094,24,1
413 608,30,24,720,10,2
413 608,37,22,814,9,2
413 608,21,21,441,10,2
413 608,17,10,170,9,3
413 608,75,33,2475,15,3
413 608,40,72,2880,6,1
413 608,26,70,1820,12,1
413 608,47,50,2350,5,1
150 250,30,72,2160,24,2
150 250,140,65,9100,10,2
150 250,30,35,1050,10,3
150 250,120,68,8160,20,2
150 250,45,50,2250,15,2
150 250,80,90,7200,18,1
150 250,10,30,300,23,3
150 250,30,24,720,9,3
150 250,150,20,3000,20,1
150 250,65,30,1950,8,2
150 250,154,20,3080,16,2
150 250,63,98,6174,12,2
150 250,33,95,3135,8,2
150 250,186,18,3348,11,1
150 250,65,22,1430,5,2
150 250,64,71,4544,12,1
150 250,79,15,1185,9,1
150 250,46,21,966,19,2
150 250,23,33,759,15,2
150 250,44,16,704,5,1
151 250,82,67,5490,16,2
152 250,47,70,3274,12,2
153 250,70,80,5599,22,3
154 250,75,63,4711,10,2
155 250,174,106,18467,30,1
156 250,156,70,10920,35,2
157 250,538,230,123740,50,1
158 250,97,52,5044,15,1
159 250,119,76,8993,27,2
160 250,86,17,1462,22,2
161 250,40,22,891,7,2
162 250,40,38,1508,15,3
163 250,53,65,3431,10,2
164 250,40,11,445,6,1
165 250,161,157,25348,15,1
166 250,33,30,1012,8,2
167 250,102,356,36415,120,4
168 250,38,22,834,20,2
169 250,116,71,8198,40,3
170 250,115,85,9836,60,3
264 251,37,65,2405,20,4
264 251,58,75,4350,17,2
264 251,25,100,2500,13,2
264 251,60,85,5100,2,1
264 251,70,90,6300,18,2
264 251,45,43,1935,2,1
264 251,16,42,672,10,2
264 251,29,37,1073,7,2
264 251,60,37,2220,17,2
264 251,70,52,3640,2,1
264 251,100,65,6500,30,1
264 251,30,23,690,12,2
264 251,20,46,920,15,2
49 459,35,60,2100,10,1
49 459,28,55,1540,8,2
49 459,90,48,4320,7,1
49 459,90,25,2250,20,3
49 459,75,27,2025,10,3
49 459,28,15,420,6,1
49 459,32,46,1472,5,2
49 459,41,33,1353,4,1
49 459,35,24,840,2,1
50 459,42,39,1617,32,2
51 459,29,62,1779,16,1
52 459,114,49,5596,26,2
53 459,80,72,5788,15,1
54 459,125,53,6646,17,1
55 459,134,119,15904,90,3
56 459,70,65,4550,7,1
57 459,18,21,378,6,2
58 459,43,21,903,13,2
59 459,88,26,2288,13,1
60 459,153,180,27621,32,2
61 459,92,98,9016,40,2
62 459,52,48,2496,30,2
63 459,102,36,3672,21,2
64 459,62,18,1116,12,2
65 459,70,23,1580,32,3
66 459,29,53,1537,29,2
67 459,35,7,245,15,2
68 459,297,148,43956,13,1
69 459,50,25,1250,17,2
70 459,117,29,3393,7,1
71 459,25,25,613,11,3
72 459,34,15,510,14,2
73 459,17,35,595,24,2
74 459,60,20,1200,13,2
75 459,25,16,400,8,2
76 459,36,40,1423,13,2
77 459,52,29,1508,16,2
78 459,39,28,1092,7,2
79 459,37,23,851,4,2
80 459,45,48,2160,11,2
81 459,41,39,1596,7,2
82 459,86,21,1806,21,2
83 459,50,32,1617,24,3
84 459,45,40,1800,9,2
85 459,24,28,672,20,3
86 459,45,40,1800,15,2
87 459,19,16,298,6,2
88 459,37,32,1181,10,2
89 459,29,19,551,12,2
90 459,34,23,782,10,2
91 459,47,39,1844,54,3
92 459,608,272,165718,72,4
93 459,50,37,1827,24,2
94 459,78,142,11030,102,4
95 459,167,250,41772,302,5
96 459,96,81,7809,30,2
97 459,87,49,4252,20,2
98 459,85,54,4601,25,2
99 459,26,49,1265,27,2
100 459,56,70,3947,30,2
101 459,188,82,15386,100,3
102 459,44,45,1996,25,2
103 459,269,259,69701,100,3
104 459,47,39,1844,13,2
105 459,60,60,3600,9,1
106 459,22,31,682,4,2
107 459,31,20,620,3,1
108 459,11,10,110,2,2
109 459,60,100,6000,10,1
110 459,28,28,784,4,1
111 459,61,18,1098,10,1
112 459,14,25,350,4,2
113 459,126,80,10080,11,1
114 459,38,64,2432,21,2
115 459,65,42,2730,10,2
116 459,41,137,5617,30,2
117 459,123,103,12669,26,2
118 459,10,21,210,4,2
119 459,80,156,12480,22,1
120 459,23,33,759,20,2
121 459,24,52,1248,8,1
122 459,32,48,1536,9,1
123 459,54,99,5346,18,2
124 459,42,47,1974,16,2
125 459,54,64,3456,12,2
126 459,29,28,812,8,2
127 459,85,22,1870,9,1
128 459,23,24,552,10,2
129 459,40,13,520,9,2
130 459,19,19,361,13,2
641791,88,30,2596,4,1
641791,38,19,713,11,1
641791,25,29,713,11,2
641791,27,26,689,10,2
641791,91,48,4373,10,1
641791,33,20,660,4,1
641791,115,34,3910,16,1
641791,41,31,1271,10,1
641791,49,20,970,3,1
641791,16,30,494,3,1
641791,51,31,1581,8,1
641791,29,28,801,5,1
641791,30,28,825,19,2
641791,14,28,385,11,2
641791,43,33,1419,7,2
641791,23,26,587,5,1
641791,17,29,500,3,2
641791,42,10,420,5,1
641791,55,73,4015,8,1
641791,12,17,204,2,1
641791,24,17,408,12,2
641791,27,28,743,12,2
641791,31,28,868,16,2
641791,49,20,980,8,1
641791,17,12,198,4,1
641791,52,87,4524,27,1
641791,44,38,1672,5,1
641791,28,20,560,5,1
641791,66,60,3960,6,1
270922,116,47,5452,28,2
270922,94,200,18800,30,1
270922,38,46,1748,23,2
270922,88,53,4664,35,2
270922,34,25,850,8,2
270922,182,98,17836,12,1
189759,65,24,1560,10,2
189759,42,23,966,12,1
189759,22,26,572,6,3
189759,30,30,885,11,2
189759,32,24,743,10,2
164387,79,42,3318,15,1
164387,50,25,1250,8,1
164387,59,38,2213,16,2
164387,53,50,2650,6,1
1321000,103,102,10506,18,1
1321000,128,58,7439,26,2
1321000,112,73,8232,15,1
1321000,165,98,16183,24,2
1321000,155,40,6267,23,1
1321000,151,49,7473,29,1
1321000,60,56,3370,7,1
1321000,97,82,7873,24,2
1321000,127,112,14225,52,2
1321000,78,84,6601,16,1
1321000,67,26,1730,25,1
1321000,22,44,955,10,3
1321000,78,56,4341,17,2
1321000,117,50,5894,27,2
1321000,90,66,5938,11,1
1321000,68,36,2476,10,1
1321000,53,70,3710,19,2
1321000,63,82,5110,13,3
1321000,88,74,6482,14,1
1321000,104,127,13116,17,1
1321000,44,95,4167,15,2
1321000,54,92,4932,10,1
1321000,86,84,7213,14,1
1321000,64,40,2558,13,1
1321000,112,88,9864,37,2
1321000,64,32,2068,13,1
1321000,72,49,3552,13,1
1321000,33,36,1185,8,1
1321000,56,27,1525,7,1
1321000,44,85,3766,12,1
1321000,164,112,18378,23,1
1321000,56,90,5017,15,1
1321000,46,25,1145,12,2
1321000,62,129,7974,8,1
1321000,58,98,5660,11,1
1321000,69,65,4446,9,1
1321000,63,117,7363,15,2
1321000,127,57,7214,14,1
1321000,83,76,6296,18,1
1321000,191,90,17207,12,1
1321000,97,72,7021,10,1
1321000,62,99,6127,15,1
1321000,87,68,5936,23,1
1321000,70,53,3728,9,1
1321000,63,85,5351,15,1
1321000,142,84,11947,19,2
1321000,39,36,1387,9,2
1321000,180,106,19159,15,1
1321000,74,51,3752,9,1
1321000,51,27,1389,7,1
1321000,54,69,3729,24,2
1321000,31,17,515,10,2
1321000,21,15,322,5,1
1321000,51,39,1984,17,2
1321000,107,79,8453,3,1
1321000,75,62,4614,20,3
1321000,89,51,4557,7,1
1321000,74,30,2216,15,2
1321000,55,68,3720,2,1
1321000,66,39,2542,16,1
1321000,52,113,5923,13,1
1321000,82,74,6070,12,1
1321000,149,82,12173,18,2
1321000,99,162,16064,12,1
1321000,64,99,6312,6,1
1321000,127,122,15419,25,2
1321000,111,79,8738,10,1
1321000,156,81,12703,18,1
1321000,62,107,6687,23,1
1321000,116,133,15503,11,1
168482,87,77,6697,13,1
168482,56,137,7649,17,2
168482,44,42,1850,10,1
156444,81,159,12939,9,1
156444,70,126,8820,20,1
156444,52,43,2236,20,3
156444,83,73,6059,48,8
156444,53,67,3551,12,2
156444,102,37,3774,12,1
156444,14,20,280,6,1
156444,37,65,2405,12,2
156444,44,20,880,12,2
156444,22,40,880,16,2
156444,60,50,3000,14,2
156444,90,35,3150,16,2
156444,45,45,2025,9,1
156444,94,88,8272,22,1
156444,65,42,2730,14,2
156444,36,28,1008,12,3
156444,24,50,1200,22,2
156444,46,45,2070,26,2
156444,98,86,8428,14,2
156444,112,22,2464,10,1
156444,43,42,1806,10,1
156444,103,194,19982,20,1
156444,55,53,2915,30,2
156444,38,38,1444,13,2
156444,47,16,752,8,1
156444,60,20,1200,6,2
156444,123,75,9225,12,2
156444,26,16,416,5,1
156444,33,18,594,3,2
156444,170,50,8500,17,1
156444,56,37,2072,14,1
156444,32,39,1248,10,1
156444,26,77,2002,4,2
156444,66,43,2838,12,2
156444,110,186,20460,78,2
156444,51,45,2295,24,2
156444,71,98,6984,27,3
156444,22,35,770,5,1
156444,71,47,3292,17,1
156444,23,20,460,6,3
156444,40,50,2000,13,2
156444,44,41,1804,24,2
156444,73,54,3915,13,2
156444,83,36,2945,32,3
156444,152,50,7600,20,1
156444,20,26,520,7,2
156444,25,30,741,5,1
156444,16,20,320,4,1
156444,54,25,1350,6,1
156444,32,24,768,10,2
156444,104,56,5809,41,1
156444,91,55,4978,56,2
156444,50,39,1925,25,1
156444,64,35,2208,6,1
156444,196,103,20219,24,1
156444,88,56,4918,23,2
156444,26,22,572,7,1
156444,38,26,988,18,3
156444,20,28,560,8,3
156444,95,92,8647,30,2
156444,82,92,7524,28,1
156444,70,45,3150,15,1
156444,91,31,2832,62,3
156444,60,15,900,20,2
156444,44,41,1804,24,2
156444,32,18,576,7,3
156444,160,157,25120,82,1
156444,87,74,6395,20,2
156444,38,59,2242,26,3
156444,120,67,8040,30,2
156444,27,16,432,6,2
156444,30,42,1260,13,2
156444,48,33,1584,26,3
156444,28,17,462,3,1
156444,21,20,420,4,1
156444,42,49,2037,24,2
734153,24,24,576,7,1
734153,28,25,700,6,1
734153,57,56,3192,5,1
734153,76,86,6536,15,1
734153,16,24,384,3,1
734153,170,16,2720,66,1
734153,94,50,4700,19,1
734153,24,8,188,4,1
734153,108,64,6912,42,2
734153,38,40,1520,2,1
734153,37,62,2282,12,2
734153,130,25,3250,3,1
734153,58,46,2639,7,1
734153,78,30,2340,8,2
734153,51,65,3315,42,2
734153,71,27,1904,11,2
734153,45,26,1170,5,1
734153,26,22,576,5,1
734153,45,11,473,6,1
734153,14,23,322,3,2
734153,22,12,264,4,1
734153,39,30,1155,10,2
50357,30,13,375,6,1
275182,14,6,82,3,2
275182,85,71,6000,34,2
275182,26,37,973,5,2
824 229,52,27,1404,19,2
824 229,98,78,7644,32,3
824 229,90,80,7200,29,2
824 229,45,45,2025,35,5
824 229,130,130,16900,26,2
824 229,50,30,1500,25,3
824 229,87,48,4176,15,1
824 229,36,36,1296,5,1
824 229,97,43,4171,17,2
824 229,19,40,760,18,3
824 229,35,65,2275,12,3
824 229,60,25,1500,14,2
824 229,23,23,529,4,1
824 229,34,18,612,7,1
824 229,30,19,570,10,1
824 229,30,8,240,4,1
824 229,90,44,3960,10,1
824 229,75,70,5250,25,1
824 229,28,31,868,7,2
824 229,50,17,850,10,2
824 229,20,26,520,15,2
824 229,66,44,2904,28,2
824 229,50,30,1500,25,3
824 229,36,36,1296,5,1
824 229,97,43,4171,17,2
824 229,60,25,1500,14,2
824 229,75,70,5250,25,1
825 229,100,112,11200,22,2
826 229,163,34,5501,22,2
827 229,48,30,1440,24,2
828 229,22,45,998,13,2
829 229,13,23,299,9,2
830 229,45,30,1337,15,2
831 229,63,17,1087,10,1
832 229,54,39,2071,40,3
833 229,45,105,4731,30,2
834 229,29,42,1201,22,2
835 229,43,43,1886,15,2
836 229,44,19,838,20,3
837 229,44,19,837,12,2
838 229,54,44,2362,20,2
839 229,35,32,1116,24,2
684 847,76,63,4788,3,1
684 847,85,80,6800,40,2
684 847,95,130,12350,9,1
684 847,60,70,4200,10,1
684 847,115,50,5750,35,2
684 847,30,80,2400,10,3
684 847,135,45,6075,25,2
684 847,35,20,700,12,2
684 847,55,18,990,15,2
684 847,38,14,532,13,2
684 847,41,20,820,10,2
684 847,55,88,4840,3,1
684 847,45,95,4275,3,1
684 847,115,93,10695,35,2
684 847,90,75,6750,5,1
684 847,60,40,2400,6,1
684 847,60,40,2400,6,1
684 847,50,90,4500,20,2
684 847,52,50,2600,12,2
684 847,70,60,4200,18,2
684 847,105,30,3150,9,1
684 847,90,110,9900,40,2
684 847,55,100,5500,9,2
684 847,80,40,3200,28,2
684 847,75,67,5025,13,1
684 847,45,25,1125,19,2
684 847,54,63,3402,4,1
684 847,70,26,1820,12,1
684 847,25,30,750,8,2
684 847,75,70,5250,10,2
684 847,65,18,1170,45,3
684 847,44,34,1496,18,2
684 847,90,80,7200,24,2
684 847,68,48,3264,15,2
684 847,18,40,720,13,2
684 847,23,33,759,3,3
684 847,51,29,1479,6,1
684 847,85,80,6800,40,2
684 847,60,70,4200,10,1
684 847,115,50,5750,35,2
684 847,135,45,6075,25,2
684 847,35,20,700,12,2
685 847,199,46,9188,31,2
686 847,92,46,4218,18,2
687 847,63,30,1860,15,2
